Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
5009,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5010,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5011,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5012,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5013,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5014,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5015,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5016,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5017,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5018,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5019,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5020,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5021,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5022,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5023,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5024,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5025,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5026,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5027,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5028,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5029,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5030,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5031,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5032,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5033,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5034,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5035,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5036,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5037,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5038,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5039,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5040,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5041,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5042,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5043,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5044,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5045,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5046,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5047,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5048,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5049,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5050,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5051,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5052,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5053,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5054,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5055,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5056,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5057,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5058,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5059,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5060,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5061,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5062,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5063,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5064,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5065,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5066,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5067,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5068,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5069,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5070,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5071,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5072,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5073,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5074,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5075,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5076,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5077,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5078,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5079,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5080,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5081,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5082,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5083,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5084,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5085,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5086,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5087,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5088,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5089,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5090,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5091,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5092,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5093,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5094,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5095,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5096,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5097,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5098,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5099,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5100,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5101,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5102,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5103,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5104,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5105,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5106,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5107,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5108,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5109,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5110,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5111,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5112,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5113,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5114,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5115,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5116,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5117,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5118,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5119,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5120,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5121,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5122,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5123,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5124,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5125,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5126,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5127,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5128,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5129,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5130,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5131,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5132,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5133,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5134,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5135,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5136,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5137,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5138,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5139,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5140,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5141,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5142,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5143,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5144,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5145,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5146,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5147,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5148,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5149,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5150,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
5151,Maverick Leather Co.,Maverick Leather Co.,orders@maverickleatherco.com,(801) 555-2188,1200 W Pioneer Pkwy,South Salt Lake,UT,84119,0.00,True,MLC-118-IS,False
5152,Fiebing Co. (dye + finish),Fiebing Company,support@fiebing.com,(414) 555-0142,516 S Cleveland Ave,Milwaukee,WI,53204,0.00,True,FIEB-4422,False
