gid,name,workspace_gid,owner_gid,color,archived,notes,created_at
p1025,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1026,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1027,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1028,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1029,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1030,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1031,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1032,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1033,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1034,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1035,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1036,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1037,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1038,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1039,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1040,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1041,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1042,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1043,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1044,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1045,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1046,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1047,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1048,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1049,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1050,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1051,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1052,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1053,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1054,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1055,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1056,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1057,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1058,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1059,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1060,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1061,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1062,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1063,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1064,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1065,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1066,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1067,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1068,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1069,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1070,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1071,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1072,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1073,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1074,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1075,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1076,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1077,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1078,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1079,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1080,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1081,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1082,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1083,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1084,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1085,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1086,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1087,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1088,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1089,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1090,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1091,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1092,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1093,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1094,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1095,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1096,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1097,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1098,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1099,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1100,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1101,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1102,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1103,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1104,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1105,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1106,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1107,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1108,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1109,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1110,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1111,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1112,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1113,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1114,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1115,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1116,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1117,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1118,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1119,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1120,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1121,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1122,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1123,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1124,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1125,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1126,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1127,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1128,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1129,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1130,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1131,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1132,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1133,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1134,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1135,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1136,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1137,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1138,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1139,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1140,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1141,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1142,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1143,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1144,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1145,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1146,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1147,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1148,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1149,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1150,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1151,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1152,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1153,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1154,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1155,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1156,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1157,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1158,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1159,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1160,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1161,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1162,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1163,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1164,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1165,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1166,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1167,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1168,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1169,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1170,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1171,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1172,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1173,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1174,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1175,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1176,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1177,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1178,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1179,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1180,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1181,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1182,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1183,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1184,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1185,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1186,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1187,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1188,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
p1189,Clearwater Grant - 2026 cohort,ws_dac,u_ian,dark-green,false,3-year Clearwater watershed grant coordination,2026-01-05T09:00:00.000Z
