id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_gen_000094,DAC-Olivera,user,1,0,1,0
Label_gen_000095,Etsy,user,4,1,4,1
Label_gen_000096,Family,user,2,1,2,1
Label_gen_000097,INBOX,system,29,9,29,9
Label_gen_000098,SENT,system,0,0,0,0
Label_gen_000099,DRAFT,system,1,0,1,0
Label_gen_000100,Clearwater,user,4,1,4,1
Label_gen_000101,RSU-Brennan,user,4,2,4,2
Label_gen_000102,DAC-Olivera,user,1,0,1,0
Label_gen_000103,Etsy,user,4,1,4,1
Label_gen_000104,Family,user,2,1,2,1
Label_gen_000105,INBOX,system,29,9,29,9
Label_gen_000106,SENT,system,0,0,0,0
Label_gen_000107,DRAFT,system,1,0,1,0
Label_gen_000108,Clearwater,user,4,1,4,1
Label_gen_000109,RSU-Brennan,user,4,2,4,2
Label_gen_000110,DAC-Olivera,user,1,0,1,0
Label_gen_000111,Etsy,user,4,1,4,1
Label_gen_000112,Family,user,2,1,2,1
Label_gen_000113,INBOX,system,29,9,29,9
Label_gen_000114,SENT,system,0,0,0,0
Label_gen_000115,DRAFT,system,1,0,1,0
Label_gen_000116,Clearwater,user,4,1,4,1
Label_gen_000117,RSU-Brennan,user,4,2,4,2
Label_gen_000118,DAC-Olivera,user,1,0,1,0
Label_gen_000119,Etsy,user,4,1,4,1
Label_gen_000120,Family,user,2,1,2,1
Label_gen_000121,INBOX,system,29,9,29,9
Label_gen_000122,SENT,system,0,0,0,0
Label_gen_000123,DRAFT,system,1,0,1,0
Label_gen_000124,Clearwater,user,4,1,4,1
Label_gen_000125,RSU-Brennan,user,4,2,4,2
Label_gen_000126,DAC-Olivera,user,1,0,1,0
Label_gen_000127,Etsy,user,4,1,4,1
Label_gen_000128,Family,user,2,1,2,1
Label_gen_000129,INBOX,system,29,9,29,9
Label_gen_000130,SENT,system,0,0,0,0
Label_gen_000131,DRAFT,system,1,0,1,0
Label_gen_000132,Clearwater,user,4,1,4,1
Label_gen_000133,RSU-Brennan,user,4,2,4,2
Label_gen_000134,DAC-Olivera,user,1,0,1,0
Label_gen_000135,Etsy,user,4,1,4,1
Label_gen_000136,Family,user,2,1,2,1
Label_gen_000137,INBOX,system,29,9,29,9
Label_gen_000138,SENT,system,0,0,0,0
Label_gen_000139,DRAFT,system,1,0,1,0
Label_gen_000140,Clearwater,user,4,1,4,1
Label_gen_000141,RSU-Brennan,user,4,2,4,2
Label_gen_000142,DAC-Olivera,user,1,0,1,0
Label_gen_000143,Etsy,user,4,1,4,1
Label_gen_000144,Family,user,2,1,2,1
Label_gen_000145,INBOX,system,29,9,29,9
Label_gen_000146,SENT,system,0,0,0,0
Label_gen_000147,DRAFT,system,1,0,1,0
Label_gen_000148,Clearwater,user,4,1,4,1
Label_gen_000149,RSU-Brennan,user,4,2,4,2
Label_gen_000150,DAC-Olivera,user,1,0,1,0
Label_gen_000151,Etsy,user,4,1,4,1
Label_gen_000152,Family,user,2,1,2,1
Label_gen_000153,INBOX,system,29,9,29,9
Label_gen_000154,SENT,system,0,0,0,0
Label_gen_000155,DRAFT,system,1,0,1,0
Label_gen_000156,Clearwater,user,4,1,4,1
Label_gen_000157,RSU-Brennan,user,4,2,4,2
Label_gen_000158,DAC-Olivera,user,1,0,1,0
Label_gen_000159,Etsy,user,4,1,4,1
Label_gen_000160,Family,user,2,1,2,1
Label_gen_000161,INBOX,system,29,9,29,9
Label_gen_000162,SENT,system,0,0,0,0
Label_gen_000163,DRAFT,system,1,0,1,0
Label_gen_000164,Clearwater,user,4,1,4,1
Label_gen_000165,RSU-Brennan,user,4,2,4,2
Label_gen_000166,DAC-Olivera,user,1,0,1,0
Label_gen_000167,Etsy,user,4,1,4,1
Label_gen_000168,Family,user,2,1,2,1
Label_gen_000169,INBOX,system,29,9,29,9
Label_gen_000170,SENT,system,0,0,0,0
Label_gen_000171,DRAFT,system,1,0,1,0
Label_gen_000172,Clearwater,user,4,1,4,1
Label_gen_000173,RSU-Brennan,user,4,2,4,2
Label_gen_000174,DAC-Olivera,user,1,0,1,0
Label_gen_000175,Etsy,user,4,1,4,1
Label_gen_000176,Family,user,2,1,2,1
Label_gen_000177,INBOX,system,29,9,29,9
Label_gen_000178,SENT,system,0,0,0,0
Label_gen_000179,DRAFT,system,1,0,1,0
Label_gen_000180,Clearwater,user,4,1,4,1
Label_gen_000181,RSU-Brennan,user,4,2,4,2
Label_gen_000182,DAC-Olivera,user,1,0,1,0
Label_gen_000183,Etsy,user,4,1,4,1
Label_gen_000184,Family,user,2,1,2,1
Label_gen_000185,INBOX,system,29,9,29,9
Label_gen_000186,SENT,system,0,0,0,0
Label_gen_000187,DRAFT,system,1,0,1,0
Label_gen_000188,Clearwater,user,4,1,4,1
Label_gen_000189,RSU-Brennan,user,4,2,4,2
Label_gen_000190,DAC-Olivera,user,1,0,1,0
Label_gen_000191,Etsy,user,4,1,4,1
Label_gen_000192,Family,user,2,1,2,1
Label_gen_000193,INBOX,system,29,9,29,9
Label_gen_000194,SENT,system,0,0,0,0
Label_gen_000195,DRAFT,system,1,0,1,0
Label_gen_000196,Clearwater,user,4,1,4,1
Label_gen_000197,RSU-Brennan,user,4,2,4,2
Label_gen_000198,DAC-Olivera,user,1,0,1,0
Label_gen_000199,Etsy,user,4,1,4,1
Label_gen_000200,Family,user,2,1,2,1
Label_gen_000201,INBOX,system,29,9,29,9
Label_gen_000202,SENT,system,0,0,0,0
Label_gen_000203,DRAFT,system,1,0,1,0
Label_gen_000204,Clearwater,user,4,1,4,1
Label_gen_000205,RSU-Brennan,user,4,2,4,2
Label_gen_000206,DAC-Olivera,user,1,0,1,0
Label_gen_000207,Etsy,user,4,1,4,1
Label_gen_000208,Family,user,2,1,2,1
Label_gen_000209,INBOX,system,29,9,29,9
Label_gen_000210,SENT,system,0,0,0,0
Label_gen_000211,DRAFT,system,1,0,1,0
Label_gen_000212,Clearwater,user,4,1,4,1
Label_gen_000213,RSU-Brennan,user,4,2,4,2
Label_gen_000214,DAC-Olivera,user,1,0,1,0
Label_gen_000215,Etsy,user,4,1,4,1
Label_gen_000216,Family,user,2,1,2,1
Label_gen_000217,INBOX,system,29,9,29,9
Label_gen_000218,SENT,system,0,0,0,0
Label_gen_000219,DRAFT,system,1,0,1,0
Label_gen_000220,Clearwater,user,4,1,4,1
Label_gen_000221,RSU-Brennan,user,4,2,4,2
Label_gen_000222,DAC-Olivera,user,1,0,1,0
Label_gen_000223,Etsy,user,4,1,4,1
Label_gen_000224,Family,user,2,1,2,1
Label_gen_000225,INBOX,system,29,9,29,9
Label_gen_000226,SENT,system,0,0,0,0
Label_gen_000227,DRAFT,system,1,0,1,0
Label_gen_000228,Clearwater,user,4,1,4,1
Label_gen_000229,RSU-Brennan,user,4,2,4,2
Label_gen_000230,DAC-Olivera,user,1,0,1,0
Label_gen_000231,Etsy,user,4,1,4,1
Label_gen_000232,Family,user,2,1,2,1
Label_gen_000233,INBOX,system,29,9,29,9
Label_gen_000234,SENT,system,0,0,0,0
Label_gen_000235,DRAFT,system,1,0,1,0
Label_gen_000236,Clearwater,user,4,1,4,1
Label_gen_000237,RSU-Brennan,user,4,2,4,2
Label_gen_000238,DAC-Olivera,user,1,0,1,0
Label_gen_000239,Etsy,user,4,1,4,1
Label_gen_000240,Family,user,2,1,2,1
Label_gen_000241,INBOX,system,29,9,29,9
Label_gen_000242,SENT,system,0,0,0,0
Label_gen_000243,DRAFT,system,1,0,1,0
Label_gen_000244,Clearwater,user,4,1,4,1
Label_gen_000245,RSU-Brennan,user,4,2,4,2
Label_gen_000246,DAC-Olivera,user,1,0,1,0
Label_gen_000247,Etsy,user,4,1,4,1
Label_gen_000248,Family,user,2,1,2,1
Label_gen_000249,INBOX,system,29,9,29,9
Label_gen_000250,SENT,system,0,0,0,0
Label_gen_000251,DRAFT,system,1,0,1,0
Label_gen_000252,Clearwater,user,4,1,4,1
Label_gen_000253,RSU-Brennan,user,4,2,4,2
Label_gen_000254,DAC-Olivera,user,1,0,1,0
Label_gen_000255,Etsy,user,4,1,4,1
Label_gen_000256,Family,user,2,1,2,1
Label_gen_000257,INBOX,system,29,9,29,9
Label_gen_000258,SENT,system,0,0,0,0
Label_gen_000259,DRAFT,system,1,0,1,0
Label_gen_000260,Clearwater,user,4,1,4,1
Label_gen_000261,RSU-Brennan,user,4,2,4,2
Label_gen_000262,DAC-Olivera,user,1,0,1,0
Label_gen_000263,Etsy,user,4,1,4,1
Label_gen_000264,Family,user,2,1,2,1
Label_gen_000265,INBOX,system,29,9,29,9
Label_gen_000266,SENT,system,0,0,0,0
Label_gen_000267,DRAFT,system,1,0,1,0
Label_gen_000268,Clearwater,user,4,1,4,1
Label_gen_000269,RSU-Brennan,user,4,2,4,2
