id,createdTime,Name,Status,Project,EstimateHours,Done
recTask0000000026,2026-10-08T17:20:00Z,Collect SMP-2026-1126 at Site 2,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000027,2026-10-22T17:11:00Z,Collect SMP-2026-1127 at Site 3,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000028,2026-10-15T16:00:00.000Z,Collect SMP-2026-1128 at Site 1,To do,Site 3 Water Quality Monitoring,3,
recTask0000000029,2026-10-15T16:05:00.000Z,Collect SMP-2026-1129 at Site 8,To do,Grant budget,2,
recTask0000000030,2026-10-16T09:00:00.000Z,Collect SMP-2026-1130 at Site 9,In progress,Grant budget,1,
recTask0000000031,2026-10-07T16:22:00Z,Collect SMP-2026-1131 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000032,2026-10-21T16:05:00Z,Collect SMP-2026-1132 at Site 5,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000033,2026-10-07T16:48:00Z,Collect SMP-2026-1133 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000034,2026-10-21T16:32:00Z,Collect SMP-2026-1134 at Site 2,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000035,2026-10-07T17:14:00Z,Collect SMP-2026-1135 at Site 4,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000036,2026-10-21T17:01:00Z,Collect SMP-2026-1136 at Site 5,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000037,2026-10-08T16:10:00Z,Collect SMP-2026-1137 at Site 10,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000038,2026-10-22T16:28:00Z,Collect SMP-2026-1138 at Site 9,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000039,2026-10-08T16:55:00Z,Collect SMP-2026-1139 at Site 8,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000040,2026-10-22T16:48:00Z,Collect SMP-2026-1140 at Site 1,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000041,2026-10-08T17:20:00Z,Collect SMP-2026-1141 at Site 11,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000042,2026-10-22T17:11:00Z,Collect SMP-2026-1142 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000043,2026-10-15T16:00:00.000Z,Collect SMP-2026-1143 at Site 5,To do,Site 3 Water Quality Monitoring,3,
recTask0000000044,2026-10-15T16:05:00.000Z,Collect SMP-2026-1144 at Site 4,To do,Grant budget,2,
recTask0000000045,2026-10-16T09:00:00.000Z,Collect SMP-2026-1145 at Site 12,In progress,Grant budget,1,
recTask0000000046,2026-10-07T16:22:00Z,Collect SMP-2026-1146 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000047,2026-10-21T16:05:00Z,Collect SMP-2026-1147 at Site 3,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000048,2026-10-07T16:48:00Z,Collect SMP-2026-1148 at Site 3,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000049,2026-10-21T16:32:00Z,Collect SMP-2026-1149 at Site 2,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000050,2026-10-07T17:14:00Z,Collect SMP-2026-1150 at Site 2,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000051,2026-10-21T17:01:00Z,Collect SMP-2026-1151 at Site 11,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000052,2026-10-08T16:10:00Z,Collect SMP-2026-1152 at Site 2,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000053,2026-10-22T16:28:00Z,Collect SMP-2026-1153 at Site 9,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000054,2026-10-08T16:55:00Z,Collect SMP-2026-1154 at Site 9,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000055,2026-10-22T16:48:00Z,Collect SMP-2026-1155 at Site 5,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000056,2026-10-08T17:20:00Z,Collect SMP-2026-1156 at Site 3,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000057,2026-10-22T17:11:00Z,Collect SMP-2026-1157 at Site 12,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000058,2026-10-15T16:00:00.000Z,Collect SMP-2026-1158 at Site 6,To do,Site 3 Water Quality Monitoring,3,
recTask0000000059,2026-10-15T16:05:00.000Z,Collect SMP-2026-1159 at Site 1,To do,Grant budget,2,
recTask0000000060,2026-10-16T09:00:00.000Z,Collect SMP-2026-1160 at Site 4,In progress,Grant budget,1,
recTask0000000061,2026-10-07T16:22:00Z,Collect SMP-2026-1161 at Site 11,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000062,2026-10-21T16:05:00Z,Collect SMP-2026-1162 at Site 6,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000063,2026-10-07T16:48:00Z,Collect SMP-2026-1163 at Site 6,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000064,2026-10-21T16:32:00Z,Collect SMP-2026-1164 at Site 4,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000065,2026-10-07T17:14:00Z,Collect SMP-2026-1165 at Site 12,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000066,2026-10-21T17:01:00Z,Collect SMP-2026-1166 at Site 11,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000067,2026-10-08T16:10:00Z,Collect SMP-2026-1167 at Site 2,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000068,2026-10-22T16:28:00Z,Collect SMP-2026-1168 at Site 2,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000069,2026-10-08T16:55:00Z,Collect SMP-2026-1169 at Site 1,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000070,2026-10-22T16:48:00Z,Collect SMP-2026-1170 at Site 9,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000071,2026-10-08T17:20:00Z,Collect SMP-2026-1171 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000072,2026-10-22T17:11:00Z,Collect SMP-2026-1172 at Site 4,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000073,2026-10-15T16:00:00.000Z,Collect SMP-2026-1173 at Site 12,To do,Site 3 Water Quality Monitoring,3,
recTask0000000074,2026-10-15T16:05:00.000Z,Collect SMP-2026-1174 at Site 11,To do,Grant budget,2,
recTask0000000075,2026-10-16T09:00:00.000Z,Collect SMP-2026-1175 at Site 6,In progress,Grant budget,1,
recTask0000000076,2026-10-07T16:22:00Z,Collect SMP-2026-1176 at Site 10,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000077,2026-10-21T16:05:00Z,Collect SMP-2026-1177 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000078,2026-10-07T16:48:00Z,Collect SMP-2026-1178 at Site 10,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000079,2026-10-21T16:32:00Z,Collect SMP-2026-1179 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000080,2026-10-07T17:14:00Z,Collect SMP-2026-1180 at Site 10,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000081,2026-10-21T17:01:00Z,Collect SMP-2026-1181 at Site 8,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000082,2026-10-08T16:10:00Z,Collect SMP-2026-1182 at Site 5,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000083,2026-10-22T16:28:00Z,Collect SMP-2026-1183 at Site 3,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000084,2026-10-08T16:55:00Z,Collect SMP-2026-1184 at Site 10,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000085,2026-10-22T16:48:00Z,Collect SMP-2026-1185 at Site 1,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000086,2026-10-08T17:20:00Z,Collect SMP-2026-1186 at Site 10,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000087,2026-10-22T17:11:00Z,Collect SMP-2026-1187 at Site 6,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000088,2026-10-15T16:00:00.000Z,Collect SMP-2026-1188 at Site 7,To do,Site 3 Water Quality Monitoring,3,
recTask0000000089,2026-10-15T16:05:00.000Z,Collect SMP-2026-1189 at Site 6,To do,Grant budget,2,
recTask0000000090,2026-10-16T09:00:00.000Z,Collect SMP-2026-1190 at Site 12,In progress,Grant budget,1,
recTask0000000091,2026-10-07T16:22:00Z,Collect SMP-2026-1191 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000092,2026-10-21T16:05:00Z,Collect SMP-2026-1192 at Site 9,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000093,2026-10-07T16:48:00Z,Collect SMP-2026-1193 at Site 5,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000094,2026-10-21T16:32:00Z,Collect SMP-2026-1194 at Site 7,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000095,2026-10-07T17:14:00Z,Collect SMP-2026-1195 at Site 4,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000096,2026-10-21T17:01:00Z,Collect SMP-2026-1196 at Site 2,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000097,2026-10-08T16:10:00Z,Collect SMP-2026-1197 at Site 6,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000098,2026-10-22T16:28:00Z,Collect SMP-2026-1198 at Site 12,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000099,2026-10-08T16:55:00Z,Collect SMP-2026-1199 at Site 12,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000100,2026-10-22T16:48:00Z,Collect SMP-2026-1200 at Site 2,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000101,2026-10-08T17:20:00Z,Collect SMP-2026-1201 at Site 11,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000102,2026-10-22T17:11:00Z,Collect SMP-2026-1202 at Site 12,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000103,2026-10-15T16:00:00.000Z,Collect SMP-2026-1203 at Site 5,To do,Site 3 Water Quality Monitoring,3,
recTask0000000104,2026-10-15T16:05:00.000Z,Collect SMP-2026-1204 at Site 12,To do,Grant budget,2,
recTask0000000105,2026-10-16T09:00:00.000Z,Collect SMP-2026-1205 at Site 6,In progress,Grant budget,1,
recTask0000000106,2026-10-07T16:22:00Z,Collect SMP-2026-1206 at Site 7,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000107,2026-10-21T16:05:00Z,Collect SMP-2026-1207 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000108,2026-10-07T16:48:00Z,Collect SMP-2026-1208 at Site 1,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000109,2026-10-21T16:32:00Z,Collect SMP-2026-1209 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000110,2026-10-07T17:14:00Z,Collect SMP-2026-1210 at Site 8,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000111,2026-10-21T17:01:00Z,Collect SMP-2026-1211 at Site 11,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000112,2026-10-08T16:10:00Z,Collect SMP-2026-1212 at Site 6,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000113,2026-10-22T16:28:00Z,Collect SMP-2026-1213 at Site 7,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000114,2026-10-08T16:55:00Z,Collect SMP-2026-1214 at Site 7,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000115,2026-10-22T16:48:00Z,Collect SMP-2026-1215 at Site 9,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000116,2026-10-08T17:20:00Z,Collect SMP-2026-1216 at Site 10,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000117,2026-10-22T17:11:00Z,Collect SMP-2026-1217 at Site 9,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000118,2026-10-15T16:00:00.000Z,Collect SMP-2026-1218 at Site 9,To do,Site 3 Water Quality Monitoring,3,
recTask0000000119,2026-10-15T16:05:00.000Z,Collect SMP-2026-1219 at Site 7,To do,Grant budget,2,
recTask0000000120,2026-10-16T09:00:00.000Z,Collect SMP-2026-1220 at Site 12,In progress,Grant budget,1,
recTask0000000121,2026-10-07T16:22:00Z,Collect SMP-2026-1221 at Site 1,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000122,2026-10-21T16:05:00Z,Collect SMP-2026-1222 at Site 2,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000123,2026-10-07T16:48:00Z,Collect SMP-2026-1223 at Site 4,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000124,2026-10-21T16:32:00Z,Collect SMP-2026-1224 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000125,2026-10-07T17:14:00Z,Collect SMP-2026-1225 at Site 6,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000126,2026-10-21T17:01:00Z,Collect SMP-2026-1226 at Site 11,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000127,2026-10-08T16:10:00Z,Collect SMP-2026-1227 at Site 12,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000128,2026-10-22T16:28:00Z,Collect SMP-2026-1228 at Site 7,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000129,2026-10-08T16:55:00Z,Collect SMP-2026-1229 at Site 6,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000130,2026-10-22T16:48:00Z,Collect SMP-2026-1230 at Site 3,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000131,2026-10-08T17:20:00Z,Collect SMP-2026-1231 at Site 5,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000132,2026-10-22T17:11:00Z,Collect SMP-2026-1232 at Site 5,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000133,2026-10-15T16:00:00.000Z,Collect SMP-2026-1233 at Site 2,To do,Site 3 Water Quality Monitoring,3,
recTask0000000134,2026-10-15T16:05:00.000Z,Collect SMP-2026-1234 at Site 10,To do,Grant budget,2,
recTask0000000135,2026-10-16T09:00:00.000Z,Collect SMP-2026-1235 at Site 8,In progress,Grant budget,1,
recTask0000000136,2026-10-07T16:22:00Z,Collect SMP-2026-1236 at Site 11,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000137,2026-10-21T16:05:00Z,Collect SMP-2026-1237 at Site 7,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000138,2026-10-07T16:48:00Z,Collect SMP-2026-1238 at Site 5,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000139,2026-10-21T16:32:00Z,Collect SMP-2026-1239 at Site 6,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000140,2026-10-07T17:14:00Z,Collect SMP-2026-1240 at Site 7,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000141,2026-10-21T17:01:00Z,Collect SMP-2026-1241 at Site 12,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000142,2026-10-08T16:10:00Z,Collect SMP-2026-1242 at Site 7,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000143,2026-10-22T16:28:00Z,Collect SMP-2026-1243 at Site 7,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000144,2026-10-08T16:55:00Z,Collect SMP-2026-1244 at Site 10,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000145,2026-10-22T16:48:00Z,Collect SMP-2026-1245 at Site 10,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000146,2026-10-08T17:20:00Z,Collect SMP-2026-1246 at Site 1,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000147,2026-10-22T17:11:00Z,Collect SMP-2026-1247 at Site 3,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000148,2026-10-15T16:00:00.000Z,Collect SMP-2026-1248 at Site 5,To do,Site 3 Water Quality Monitoring,3,
recTask0000000149,2026-10-15T16:05:00.000Z,Collect SMP-2026-1249 at Site 10,To do,Grant budget,2,
recTask0000000150,2026-10-16T09:00:00.000Z,Collect SMP-2026-1250 at Site 1,In progress,Grant budget,1,
recTask0000000151,2026-10-07T16:22:00Z,Collect SMP-2026-1251 at Site 4,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000152,2026-10-21T16:05:00Z,Collect SMP-2026-1252 at Site 6,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000153,2026-10-07T16:48:00Z,Collect SMP-2026-1253 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000154,2026-10-21T16:32:00Z,Collect SMP-2026-1254 at Site 11,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000155,2026-10-07T17:14:00Z,Collect SMP-2026-1255 at Site 12,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000156,2026-10-21T17:01:00Z,Collect SMP-2026-1256 at Site 8,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000157,2026-10-08T16:10:00Z,Collect SMP-2026-1257 at Site 7,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000158,2026-10-22T16:28:00Z,Collect SMP-2026-1258 at Site 9,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000159,2026-10-08T16:55:00Z,Collect SMP-2026-1259 at Site 3,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000160,2026-10-22T16:48:00Z,Collect SMP-2026-1260 at Site 4,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000161,2026-10-08T17:20:00Z,Collect SMP-2026-1261 at Site 7,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000162,2026-10-22T17:11:00Z,Collect SMP-2026-1262 at Site 2,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000163,2026-10-15T16:00:00.000Z,Collect SMP-2026-1263 at Site 9,To do,Site 3 Water Quality Monitoring,3,
recTask0000000164,2026-10-15T16:05:00.000Z,Collect SMP-2026-1264 at Site 9,To do,Grant budget,2,
recTask0000000165,2026-10-16T09:00:00.000Z,Collect SMP-2026-1265 at Site 11,In progress,Grant budget,1,
recTask0000000166,2026-10-07T16:22:00Z,Collect SMP-2026-1266 at Site 9,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000167,2026-10-21T16:05:00Z,Collect SMP-2026-1267 at Site 10,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000168,2026-10-07T16:48:00Z,Collect SMP-2026-1268 at Site 10,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000169,2026-10-21T16:32:00Z,Collect SMP-2026-1269 at Site 4,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000170,2026-10-07T17:14:00Z,Collect SMP-2026-1270 at Site 3,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000171,2026-10-21T17:01:00Z,Collect SMP-2026-1271 at Site 6,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000172,2026-10-08T16:10:00Z,Collect SMP-2026-1272 at Site 12,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000173,2026-10-22T16:28:00Z,Collect SMP-2026-1273 at Site 11,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000174,2026-10-08T16:55:00Z,Collect SMP-2026-1274 at Site 8,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000175,2026-10-22T16:48:00Z,Collect SMP-2026-1275 at Site 11,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000176,2026-10-08T17:20:00Z,Collect SMP-2026-1276 at Site 1,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000177,2026-10-22T17:11:00Z,Collect SMP-2026-1277 at Site 2,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000178,2026-10-15T16:00:00.000Z,Collect SMP-2026-1278 at Site 10,To do,Site 3 Water Quality Monitoring,3,
recTask0000000179,2026-10-15T16:05:00.000Z,Collect SMP-2026-1279 at Site 9,To do,Grant budget,2,
recTask0000000180,2026-10-16T09:00:00.000Z,Collect SMP-2026-1280 at Site 1,In progress,Grant budget,1,
recTask0000000181,2026-10-07T16:22:00Z,Collect SMP-2026-1281 at Site 8,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000182,2026-10-21T16:05:00Z,Collect SMP-2026-1282 at Site 10,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000183,2026-10-07T16:48:00Z,Collect SMP-2026-1283 at Site 7,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000184,2026-10-21T16:32:00Z,Collect SMP-2026-1284 at Site 8,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000185,2026-10-07T17:14:00Z,Collect SMP-2026-1285 at Site 6,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000186,2026-10-21T17:01:00Z,Collect SMP-2026-1286 at Site 3,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000187,2026-10-08T16:10:00Z,Collect SMP-2026-1287 at Site 4,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000188,2026-10-22T16:28:00Z,Collect SMP-2026-1288 at Site 11,Done,Site 4 Water Quality Monitoring,2,true
recTask0000000189,2026-10-08T16:55:00Z,Collect SMP-2026-1289 at Site 12,Done,Site 5 Water Quality Monitoring,2,true
recTask0000000190,2026-10-22T16:48:00Z,Collect SMP-2026-1290 at Site 3,In progress,Site 5 Water Quality Monitoring,3,false
recTask0000000191,2026-10-08T17:20:00Z,Collect SMP-2026-1291 at Site 3,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000192,2026-10-22T17:11:00Z,Collect SMP-2026-1292 at Site 1,Done,Site 6 Water Quality Monitoring,2,true
recTask0000000193,2026-10-15T16:00:00.000Z,Collect SMP-2026-1293 at Site 7,To do,Site 3 Water Quality Monitoring,3,
recTask0000000194,2026-10-15T16:05:00.000Z,Collect SMP-2026-1294 at Site 5,To do,Grant budget,2,
recTask0000000195,2026-10-16T09:00:00.000Z,Collect SMP-2026-1295 at Site 10,In progress,Grant budget,1,
recTask0000000196,2026-10-07T16:22:00Z,Collect SMP-2026-1296 at Site 9,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000197,2026-10-21T16:05:00Z,Collect SMP-2026-1297 at Site 1,Done,Site 1 Water Quality Monitoring,2,true
recTask0000000198,2026-10-07T16:48:00Z,Collect SMP-2026-1298 at Site 3,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000199,2026-10-21T16:32:00Z,Collect SMP-2026-1299 at Site 1,Done,Site 2 Water Quality Monitoring,2,true
recTask0000000200,2026-10-07T17:14:00Z,Collect SMP-2026-1300 at Site 5,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000201,2026-10-21T17:01:00Z,Collect SMP-2026-1301 at Site 12,Done,Site 3 Water Quality Monitoring,2,true
recTask0000000202,2026-10-08T16:10:00Z,Collect SMP-2026-1302 at Site 4,Done,Site 4 Water Quality Monitoring,2,true
