courseId,id,title,description,state,creationTime,updateTime,creatorUserId,topicId,alternateLink,materialType,materialUrl
PH206_S26,mat_PH206_012,Final Exam Formula Sheet,Single page formula reference allowed on final exam. KM estimator Greenwood and log-rank formulas included.,PUBLISHED,2026-05-04T10:30:00Z,2026-05-22T08:00:00Z,teacher_bhenderson,topic_PH206_exam,https://classroom.google.com/c/PH206_S26/m/mat_PH206_012,DRIVE_FILE,https://drive.google.com/file/d/ph206_final_formula_sheet
PH206_S26,mat_PH206_013,Guest Lecture Transcript - Dr. Reyes Pinecrest,Time-stamped transcript excerpt of Dr. Elena Reyes guest lecture on KM estimator and censoring assumption. Companion text version of mat_PH206_005 audio recording. Shared with permission.,PUBLISHED,2026-05-16T10:00:00Z,2026-05-16T10:00:00Z,teacher_bhenderson,topic_PH206_survival,https://classroom.google.com/c/PH206_S26/m/mat_PH206_013,DRIVE_FILE,https://drive.google.com/file/d/reyes_pinecrest_KM_lecture_transcript
PH206_S26,mat_PH206_014,Midterm Exam Answer Key,Posted answer key for the March 18 midterm covering descriptive statistics and intro to inference. Review during office hours only.,PUBLISHED,2026-03-25T11:00:00Z,2026-03-25T11:00:00Z,teacher_bhenderson,topic_PH206_inference,https://classroom.google.com/c/PH206_S26/m/mat_PH206_014,DRIVE_FILE,https://drive.google.com/file/d/ph206_midterm_answerkey
PH206_S26,mat_PH206_015,Lecture 9 Slides - Hypothesis Testing Continued,Slides covering two-sample t-tests confidence intervals and effect size interpretation.,PUBLISHED,2026-04-06T22:00:00Z,2026-04-07T22:30:00Z,teacher_bhenderson,topic_PH206_inference,https://classroom.google.com/c/PH206_S26/m/mat_PH206_015,DRIVE_FILE,https://drive.google.com/file/d/ph206_lec09_hypothesis_testing
PH206_S26,mat_PH206_016,Supplementary Reading - Rosner Chapter 14,Optional supplementary text on regression diagnostics. Useful for students who want deeper coverage than the assigned readings.,PUBLISHED,2026-03-10T08:00:00Z,2026-03-10T08:00:00Z,teacher_bhenderson,topic_PH206_regression,https://classroom.google.com/c/PH206_S26/m/mat_PH206_016,LINK,https://drive.google.com/file/d/rosner_ch14_supplement
PH206_S26,mat_PH206_017,Course Evaluation Form,End of semester course evaluation. Please complete by May 25. Responses are anonymous and shared with the department after grades are posted.,PUBLISHED,2026-05-15T08:00:00Z,2026-05-15T08:00:00Z,teacher_bhenderson,topic_PH206_admin,https://classroom.google.com/c/PH206_S26/m/mat_PH206_017,LINK,https://docs.google.com/forms/d/ph206_course_eval_s26
PH206_S26,mat_PH206_018,Lecture 5 Slides - Confidence Intervals,Slides from the February 24 lecture on confidence interval construction and interpretation for proportions and means.,PUBLISHED,2026-02-23T22:00:00Z,2026-02-24T22:30:00Z,teacher_bhenderson,topic_PH206_inference,https://classroom.google.com/c/PH206_S26/m/mat_PH206_018,DRIVE_FILE,https://drive.google.com/file/d/ph206_lec05_confidence_intervals
PH206_S26,mat_PH206_019,TA Office Hours Sign-up,Sign-up sheet for additional TA-led review sessions. Slots open Tuesdays and Thursdays before each problem set deadline.,PUBLISHED,2026-02-01T09:00:00Z,2026-05-10T14:00:00Z,teacher_bhenderson,topic_PH206_admin,https://classroom.google.com/c/PH206_S26/m/mat_PH206_019,LINK,https://docs.google.com/spreadsheets/d/ph206_TA_OH_signup
PH206_S26,mat_PH206_020,Discussion Board - Q&A Threads,Class discussion board for asynchronous questions. Please check existing threads before posting and tag your post with the relevant unit.,PUBLISHED,2026-01-15T10:00:00Z,2026-05-20T18:00:00Z,teacher_bhenderson,topic_PH206_admin,https://classroom.google.com/c/PH206_S26/m/mat_PH206_020,LINK,https://groups.google.com/g/ph206-s26-discussion
PH206_S26,mat_PH206_021,Lecture 7 Slides - Linear Regression Intro,Slides from March 17 introducing linear regression. Covers OLS estimation residual diagnostics and interpretation of coefficients.,PUBLISHED,2026-03-16T22:00:00Z,2026-03-17T22:30:00Z,teacher_bhenderson,topic_PH206_regression,https://classroom.google.com/c/PH206_S26/m/mat_PH206_021,DRIVE_FILE,https://drive.google.com/file/d/ph206_lec07_linear_regression
